movie_title,voice_actor_count,character_count
Melody Time,"[1, 50]","[1, 1]"
Mickey Mouse Clubhouse,"[6, 22, 1]","[1, 1, 1]"
Mickey's Revue,[2],[1]
Mickey's Rival,[2],[1]
Mickey's Steam Roller,"[50, 50]","[1, 1]"
Mr. Duck Steps Out,[1],[1]
Mulan,"[1, 1, 50, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Mulan 2,[1],[1]
My Friends Tigger & Pooh,[1],[1]
One Hundred and One Dalmatians,"[4, 1, 1, 3, 1, 1, 1, 1]","[1, 2, 1, 1, 1, 2, 1, 1]"
Orphan's Benefit,[1],[1]
Pepper Ann,[1],[1]
Pete's Dragon,[1],[1]
Peter Pan,"[2, 50, 1, 2, 3, 1, 2, 1, 6, 50, 1, 1, 1, 3, 1, 50, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Plane Crazy,"[1, 1]","[1, 1]"
Pooh's Heffalump Movie,[1],[1]
Private Pluto,"[1, 1]","[1, 1]"
Return to Never Land,"[1, 1, 1, 22]","[1, 1, 1, 1]"
Robin Hood,"[1, 1, 2, 3, 2, 2, 3, 1, 5, 2, 1, 4, 1, 1, 1, 2, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Saludos Amigos,[1],[1]
Secret of the Wings,"[1, 1]","[1, 1]"
Sheep Dog,[2],[1]
Silly Symphonies,"[50, 50, 1, 3, 7, 50, 1]","[1, 1, 1, 1, 1, 1, 1]"
Snow White and the Seven Dwarfs,"[1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Sofia the First,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 16]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Song of the South,"[1, 1, 1]","[1, 1, 1]"
Steamboat Willie,[1],[1]
Stitch! The Movie,[8],[1]
TaleSpin,"[16, 1]","[1, 1]"
Tangled,"[1, 3, 50, 1, 22, 2, 1]","[1, 1, 1, 1, 1, 1, 1]"
Tangled Ever After,[2],[1]
Tarzan,"[2, 1, 1, 1, 1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 2, 2, 1]"
The Adventures of Ichabod and Mr. Toad,"[1, 5, 50, 7, 1, 50, 1, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Aristocats,"[2, 3, 1, 4, 2, 1, 1, 1, 1, 2, 1, 1, 4, 1, 4, 1, 3, 2, 1, 6]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Black Cauldron,"[1, 1, 2, 2, 2, 50, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Chain Gang,[2],[1]
The Country Bears,"[2, 1, 1, 1]","[1, 1, 1, 1]"
The Emperor's New Groove,"[1, 1, 2, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]"
The Emperor's New School,[1],[1]
The Fox and the Hound,"[1, 1, 3, 4, 1, 1, 50, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Fox and the Hound 2,"[1, 1, 1, 1]","[1, 1, 1, 1]"
The Great Mouse Detective,"[2, 2, 1, 22, 3, 1, 1, 1, 1, 1, 1, 1, 22]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Hunchback of Notre Dame,"[50, 4, 1, 1, 50, 1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Hunchback of Notre Dame II,"[4, 1, 2, 2]","[1, 1, 1, 1]"
The Legend of Coyote Rock,[2],[1]
The Lion King 1½,"[1, 1]","[1, 1]"
The Lion King II: Simba's Pride,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
The Little Mermaid,"[1, 3, 3, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 2, 22, 1, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Little Mermaid II: Return to the Sea,"[50, 1, 3, 2, 2]","[1, 1, 1, 1, 1]"
The Little Mermaid: Ariel's Beginning,[1],[1]
The Pirate Fairy,[1],[1]
The Plow Boy,[1],[1]
The Porker's Court,[1],[1]
The Princess and the Frog,"[1, 1, 1, 2, 2, 1, 50, 8, 1, 2, 1, 1, 1, 1, 1, 16, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
The Reluctant Dragon,"[2, 1]","[1, 1]"
The Rescuers,"[1, 3, 2, 1, 2, 2, 1, 4, 1, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]"
The Rescuers Down Under,"[1, 2, 1, 1, 1, 1, 2, 22, 2, 1, 1, 1]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
The Return of Jafar,[2],[1]
The Sleepwalker,[50],[1]
The Sword in the Stone,"[2, 1, 1, 1, 4, 3, 1, 1, 1, 1]","[1, 3, 3, 3, 1, 1, 1, 1, 1, 1]"
The Three Caballeros,"[7, 1]","[1, 1]"
The Tortoise and the Hare,"[1, 1]","[1, 1]"
The Weekenders,[2],[1]
The Wise Little Hen,"[1, 7]","[1, 1]"
"This is Your Life, Donald Duck",[7],[1]
Three Little Pigs,"[1, 1, 1, 7]","[1, 1, 1, 1]"
Timon and Pumbaa,"[3, 1, 1, 8, 8, 16, 8, 1]","[1, 1, 1, 1, 1, 1, 1, 1]"
Tinker Bell and the Great Fairy Rescue,[1],[1]
Tinker Bell and the Lost Treasure,[50],[1]
Treasure Planet,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Trolley Troubles,[22],[1]
Who Framed Roger Rabbit,"[4, 1, 4, 4, 1, 2, 4, 4, 2, 1, 7]","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Winnie the Pooh and the Blustery Day,"[1, 3]","[1, 1]"
Winnie the Pooh and the Honey Tree,"[1, 1, 1, 3, 4, 2, 1, 2, 4]","[1, 1, 1, 1, 1, 1, 2, 2, 1]"
Wreck-It Ralph,"[50, 1, 1, 1, 1, 1, 50, 1, 3, 1, 1, 50, 1, 1, 50, 2, 50, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Zootopia,"[1, 1, 1, 1, 1, 2, 3, 50, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 3, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
