,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,voice_actor_count,character_count,director_count
79,The Insider,5-Nov-99,Drama,R,C,,,
80,Camp Nowhere,26-Aug-94,Comedy,PG,C,,,
81,The Rock,7-Jun-96,Action,R,A,,,
82,Green Card,25-Dec-90,Romantic Comedy,PG-13,C,,,
83,Real Steel,7-Oct-11,Action,PG-13,B,,,
84,A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,C,,,
85,The Last Flight of Noah’s Ark,25-Jun-80,,,C,,,
86,African Cats,22-Apr-11,Documentary,G,D,,,
87,Toy Story 3D Double Feature,2-Oct-09,Adventure,G,C,,,
88,Into the Woods,25-Dec-14,Musical,PG,B,,,
89,Finding Nemo,30-May-03,Adventure,G,S,,,
90,The Good Mother,4-Nov-88,Drama,,D,,,
91,The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,C,,,
92,Pearl Harbor,25-May-01,Action,PG-13,A,,,
93,Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,A,,,
94,Color of Night,19-Aug-94,Thriller/Suspense,R,C,,,
95,Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,C,,,
96,Cheetah,18-Aug-89,Adventure,,D,,,
97,Jack,9-Aug-96,Drama,PG-13,B,,,
98,Monsters University,21-Jun-13,Adventure,G,A,,,
99,The Fifth Estate,18-Oct-13,Drama,R,D,,,
100,Before and After,23-Feb-96,Drama,PG-13,D,,,
101,Moonlight Mile,27-Sep-02,Drama,PG-13,D,,,
102,A Stranger Among Us,17-Jul-92,Drama,PG-13,C,,,
103,The Lizzie McGuire Movie,2-May-03,Comedy,PG,C,,,
104,Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,D,,,
105,crazy/beautiful,29-Jun-01,Drama,PG-13,C,,,
106,Adventures in Babysitting,3-Jul-87,Comedy,,B,,,
107,The Game Plan,22-Sep-07,Comedy,PG,B,,,
108,Splash,9-Mar-84,Comedy,PG,B,,,
109,Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,A,,,
110,The Light Between Oceans,2-Sep-16,Drama,PG-13,D,,,
111,The Guardian,29-Sep-06,Action,PG-13,B,,,
112,The Sword in the Stone,25-Dec-63,Adventure,,B,"[2, 1, 1, 1, 4, 3, 1, 1, 1, 1]","[1, 3, 3, 3, 1, 1, 1, 1, 1, 1]",5.0
113,Mr. Holland's Opus,29-Dec-95,Drama,PG,B,,,
114,The Rescuers Down Under,16-Nov-90,Adventure,G,C,"[1, 2, 1, 1, 1, 1, 2, 22, 2, 1, 1, 1]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
115,The Preacher's Wife,13-Dec-96,Drama,PG,B,,,
116,Sarafina!,18-Sep-92,Drama,PG-13,D,,,
117,Trenchcoat,11-Mar-83,Comedy,,D,,,
118,Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,C,,,
119,Around the World in 80 Days,16-Jun-04,Adventure,PG,C,,,
120,Blaze,13-Dec-89,Drama,R,C,,,
121,Toy Story,22-Nov-95,Adventure,G,A,,,
122,Prince of Persia: Sands of Time,28-May-10,Action,PG-13,B,,,
123,Eddie,31-May-96,Comedy,PG-13,C,,,
124,White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,D,,,
125,White Squall,2-Feb-96,Adventure,PG-13,D,,,
126,The Invisible,27-Apr-07,Thriller/Suspense,PG-13,C,,,
127,Guilty as Sin,4-Jun-93,Thriller/Suspense,R,C,,,
128,Operation Dumbo Drop,28-Jul-95,Adventure,PG,C,,,
129,Ghosts of the Abyss,11-Apr-03,Documentary,G,C,,,
130,Scenes from a Mall,22-Feb-91,Comedy,,D,,,
131,The BFG,1-Jul-16,Adventure,PG,C,,,
132,Tron,9-Jul-82,Action,,B,,,
133,Firelight,4-Sep-98,Drama,R,D,,,
134,Delivery Man,22-Nov-13,Comedy,PG-13,C,,,
135,New York Stories,1-Mar-89,Drama,PG,C,,,
136,Disorganized Crime,14-Apr-89,Comedy,,D,,,
137,Tom and Huck,22-Dec-95,Adventure,PG,C,,,
138,Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,C,,,
139,Grosse Pointe Blank,11-Apr-97,Black Comedy,R,C,,,
140,Indian Summer,23-Apr-93,Comedy,R,C,,,
141,The Princess and the Frog,25-Nov-09,Adventure,G,B,"[1, 1, 1, 2, 2, 1, 50, 8, 1, 2, 1, 1, 1, 1, 1, 16, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
142,Billy Bathgate,1-Nov-91,Drama,R,C,,,
143,3 Ninjas Kick Back,6-May-94,Action,PG,C,,,
144,My Boyfriend's Back,6-Aug-93,,PG-13,D,,,
145,Goal! The Dream Begins,12-May-06,Drama,PG,D,,,
146,Country,29-Sep-84,Drama,,C,,,
147,Big Trouble,5-Apr-02,Comedy,PG-13,D,,,
148,People Like Us,29-Jun-12,Drama,PG-13,D,,,
149,Mars Needs Moms,11-Mar-11,Adventure,PG,C,,,
150,Angie,4-Mar-94,Comedy,R,D,,,
151,Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,B,,,
152,Veronica Guerin,17-Oct-03,Drama,R,D,,,
153,Max Keeble's Big Move,5-Oct-01,Comedy,PG,C,,,
154,The Scarlet Letter,13-Oct-95,Drama,R,C,,,
155,D3: The Mighty Ducks,4-Oct-96,Comedy,PG,C,,,
156,Up,29-May-09,Adventure,PG,A,,,
157,Alive,15-Jan-93,Adventure,R,B,,,
158,Can't Buy Me Love,14-Aug-87,Romantic Comedy,,C,,,
159,The Hoax,6-Apr-07,Drama,R,D,,,
160,Fantasia,13-Nov-40,Musical,G,S,"[16, 8, 6, 6, 50, 8]","[1, 1, 1, 1, 1, 1]",2.0
161,Crimson Tide,12-May-95,Action,R,B,,,
162,Ransom,8-Nov-96,Action,R,A,,,
163,Pretty Woman,23-Mar-90,Romantic Comedy,R,A,,,
164,Inspector Gadget,23-Jul-99,Comedy,PG,B,,,
165,Winnie the Pooh,15-Jul-11,Adventure,G,C,,,2.0
166,The Tigger Movie,11-Feb-00,Adventure,G,B,,,
167,Heavy Weights,17-Feb-95,Comedy,PG,C,,,
168,What About Bob?,17-May-91,Comedy,PG,B,,,
169,Condorman,7-Aug-81,Action,,D,,,
170,The Haunted Mansion,26-Nov-03,Comedy,PG,B,,,
171,The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,C,,,
172,Bedknobs and Broomsticks,7-Oct-71,Musical,,B,"[1, 1, 2, 2]","[1, 1, 1, 1]",
173,Pooh's Heffalump Movie,11-Feb-05,Adventure,G,C,[1],[1],
174,Open Range,15-Aug-03,Western,R,B,,,
175,D.O.A.,18-Mar-88,Thriller/Suspense,,C,,,
176,Meet the Deedles,27-Mar-98,Comedy,PG,D,,,
177,A Beautiful Planet,29-Apr-16,Documentary,G,D,,,
178,Sister Act,29-May-92,Comedy,PG,A,,,
179,Strange Magic,23-Jan-15,Adventure,PG,D,,,
180,The Many Adventures of Winnie the Pooh,11-Mar-77,,,D,,,5.0
181,Quiz Show,14-Sep-94,Drama,PG-13,C,,,
182,While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,B,,,
183,Bedtime Stories,25-Dec-08,Comedy,PG,B,,,
184,"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,A,,,
185,Instinct,4-Jun-99,Drama,R,C,,,
186,Step Up,11-Aug-06,Drama,PG-13,B,,,
187,G.I. Jane,22-Aug-97,Drama,R,B,,,
188,Oscar,26-Apr-91,Comedy,PG,C,,,
189,The Parent Trap,29-Jul-98,Comedy,PG,B,,,
190,Primeval,12-Jan-07,Adventure,R,D,,,
191,The Lone Ranger,2-Jul-13,Western,PG-13,B,,,
192,"Monsters, Inc.",2-Nov-01,Adventure,G,A,,,
193,Reign of Fire,19-Feb-02,Action,PG-13,C,,,
194,Running Brave,4-Nov-83,Drama,,D,,,
195,Dinosaur,19-May-00,Adventure,PG,A,"[2, 1, 1, 1, 2, 1, 1, 1, 50, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
196,Rushmore,11-Dec-98,Black Comedy,R,C,,,
197,Freaky Friday,21-Jan-77,Comedy,,B,,,
198,The 13th Warrior,27-Aug-99,Action,R,C,,,
199,Brave,22-Jun-12,Adventure,PG,A,,,
200,Eight Below,17-Feb-06,Adventure,PG,B,,,
201,Gake no ue no Ponyo,14-Aug-09,Adventure,G,D,,,
202,Queen of Katwe,23-Sep-16,Drama,PG,D,,,
203,Straight Talk,3-Apr-92,Comedy,PG,C,,,
204,Holy Man,9-Oct-98,Comedy,PG,C,,,
205,The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,C,,,
206,Stella,2-Feb-90,Drama,PG-13,C,,,
207,An American Werewolf in Paris,25-Dec-97,Horror,R,C,,,
208,The Mighty Ducks,2-Oct-92,Comedy,PG,B,,,
209,Tall Tale,24-Mar-95,Western,PG,D,,,
210,Tangled,24-Nov-10,Adventure,PG,A,"[1, 3, 50, 1, 22, 2, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0
211,Ed Wood,30-Sep-94,Comedy,R,D,,,
212,The Jerky Boys,3-Feb-95,Comedy,R,D,,,
213,The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,D,,,
214,"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,S,,,
215,Super Mario Bros.,28-May-93,Action,PG,C,,,
216,The Proposal,19-Jun-09,Romantic Comedy,PG-13,B,,,
217,Race to Witch Mountain,13-Mar-09,Adventure,PG,B,,,
218,The Adventures of Huck Finn,2-Apr-93,Adventure,PG,C,,,
219,Jefferson in Paris,31-Mar-95,Drama,PG-13,D,,,
220,The Jungle Book,15-Apr-16,Adventure,PG,A,,,
221,Sky High,29-Jul-05,Adventure,PG,B,,,
222,Toy Story 2,19-Nov-99,Adventure,G,A,,,
223,The Rescuers,22-Jun-77,Adventure,,B,"[1, 3, 2, 1, 2, 2, 1, 4, 1, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",5.0
224,Remember the Titans,29-Sep-00,Drama,PG,B,,,
225,A Lot Like Love,22-Apr-05,Comedy,PG-13,C,,,
226,3 Ninjas,7-Aug-92,Action,PG,C,,,
227,Flight of the Navigator,30-Jul-86,Adventure,,C,,,
228,America's Heart and Soul,2-Jul-04,Documentary,Not Rated,D,,,
229,Swing Vote,1-Aug-08,Comedy,PG-13,D,,,
230,The Straight Story,15-Oct-99,Drama,G,D,,,
231,The Kid,7-Jul-00,Comedy,PG,B,,,
232,Enchanted,21-Nov-07,Romantic Comedy,PG,B,"[1, 2, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",
233,Zootopia,4-Mar-16,Adventure,PG,A,"[1, 1, 1, 1, 1, 2, 3, 50, 1, 1, 1, 3, 3, 1, 1, 2, 1, 1, 1, 1, 3, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
234,I'll Be Home For Christmas,13-Nov-98,Comedy,PG,C,,,
235,The War at Home,20-Nov-96,,R,D,,,
236,Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,B,,,
237,Ratatouille,29-Jun-07,Comedy,G,A,,,
238,Secretariat,8-Oct-10,Drama,PG,C,,,
239,Medicine Man,7-Feb-92,Drama,PG-13,B,,,
240,A Thousand Acres,19-Sep-97,Drama,R,D,,,
241,Mission to Mars,10-Mar-00,Adventure,PG,B,,,
242,Brother Bear,24-Oct-03,Adventure,G,B,"[1, 1, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1]",1.0
243,Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,S,"[1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0
244,Toy Story 3,18-Jun-10,Adventure,G,A,,,
245,Miracle,6-Feb-04,Drama,PG,B,,,
246,My Favorite Martian,12-Feb-99,Comedy,PG,C,,,
247,Benji the Hunted,5-Jun-87,Adventure,,C,,,
248,A Far Off Place,12-Mar-93,Adventure,PG,C,,,
249,Old Dogs,25-Nov-09,Comedy,PG,C,,,
250,Alice in Wonderland,5-Mar-10,Adventure,PG,A,"[2, 2, 2, 5, 1, 4, 50, 6, 1, 2, 1, 1, 1, 3, 1, 5, 5, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0
251,The Little Mermaid,15-Nov-89,Adventure,G,A,"[1, 3, 3, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 2, 22, 1, 1, 2, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
252,Stick It,28-Apr-06,Comedy,PG-13,C,,,
253,Funny Bones,31-Mar-95,Comedy,R,D,,,
254,Cars,9-Jun-06,Comedy,G,A,,,
255,Bicentennial Man,17-Dec-99,Drama,PG,B,,,
256,Chimpanzee,20-Apr-12,Documentary,G,C,,,
257,The Apple Dumpling Gang,1-Jul-75,Comedy,,B,,,
258,The Other Sister,26-Feb-99,Romantic Comedy,PG-13,C,,,
259,A Simple Twist of Fate,2-Sep-94,Drama,PG-13,D,,,
260,Where the Heart Is,23-Feb-90,Comedy,,D,,,
261,Kaze Tachinu,8-Nov-13,Drama,PG-13,D,,,
262,Off Beat,11-Apr-86,Comedy,,D,,,
263,The Greatest Game Ever Played,30-Sep-05,Drama,PG,C,,,
264,The Three Musketeers,12-Nov-93,Adventure,PG,B,,,
265,A Civil Action,25-Dec-98,Drama,PG-13,B,,,
266,Walt and El Grupo,10-Sep-09,Documentary,PG,D,,,
267,Powder,27-Oct-95,Drama,PG-13,C,,,
268,1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,D,,,
269,The Cemetery Club,3-Feb-93,Comedy,PG-13,D,,,
270,Stay Alive,24-Mar-06,Horror,PG-13,C,,,
271,That Darn Cat,14-Feb-97,Comedy,PG,C,,,
272,The Muppet Christmas Carol,11-Dec-92,Comedy,G,C,,,
273,Step Up 2 the Streets,14-Feb-08,Drama,PG-13,C,,,
274,Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,D,,,
275,The Santa Clause 2,1-Nov-02,Comedy,G,A,,,
276,The Recruit,31-Jan-03,Thriller/Suspense,PG-13,B,,,
277,Money for Nothing,10-Sep-93,Comedy,R,D,,,
278,Bad Company,20-Jan-95,Thriller/Suspense,R,D,,,
279,I Love Trouble,29-Jun-94,Romantic Comedy,PG,C,,,
280,The Absent Minded Professor,16-Mar-61,Comedy,,A,,,
281,Jungle 2 Jungle,7-Mar-97,Comedy,PG,B,,,
282,Tex,19-Nov-82,Drama,,C,,,
283,Life With Mikey,4-Jun-93,Comedy,PG,C,,,
284,Gone Fishin',30-May-97,Comedy,PG,C,,,
285,Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,S,,,
286,The Marrying Man,5-Apr-91,Romantic Comedy,R,C,,,
287,Bubble Boy,24-Aug-01,Comedy,PG-13,D,,,
288,Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,C,,,
289,The Fox and the Hound,10-Jul-81,Comedy,,B,"[1, 1, 3, 4, 1, 1, 50, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
290,High Heels and Low Lifes,26-Oct-01,,R,D,,,
291,The Tie That Binds,8-Sep-95,Thriller/Suspense,R,D,,,
292,John Carter,9-Mar-12,Adventure,PG-13,B,,,
293,Blank Check,11-Feb-94,Comedy,PG,C,,,
294,Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,A,,,
295,Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,S,,,
296,A Goofy Movie,7-Apr-95,Comedy,G,C,"[1, 1, 1, 2]","[1, 1, 1, 1]",
297,Hocus Pocus,16-Jul-93,Comedy,PG,B,,,
298,Pete’s Dragon,12-Aug-16,Adventure,PG,B,,,
299,Night Crossing,5-Feb-82,Drama,,D,,,
300,Lilo & Stitch,21-Jun-02,Adventure,PG,A,"[1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
301,Metro,17-Jan-97,Action,R,C,,,
302,National Treasure,19-Nov-04,Adventure,PG,A,,,
303,Shanghai Noon,26-May-00,Western,PG-13,B,,,
304,Dangerous Minds,11-Aug-95,Drama,R,B,,,
305,The Distinguished Gentleman,4-Dec-92,Comedy,R,B,,,
306,The Secret World of Arietty,17-Feb-12,Adventure,G,C,,,
307,The Princess Diaries,3-Aug-01,Comedy,G,B,,,
308,Step Up 3D,6-Aug-10,Drama,PG-13,C,,,
309,Underdog,3-Aug-07,Adventure,PG,C,,,
310,Red Rock West,28-Jan-94,,R,D,,,
311,Captain America: Civil War,6-May-16,Action,PG-13,A,,,
312,Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,C,,,
313,Nixon,20-Dec-95,Drama,R,C,,,
314,The Ref,9-Mar-94,Comedy,R,C,,,
315,The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,B,,,
316,Ice Princess,18-Mar-05,Comedy,G,C,,,
317,King Arthur,7-Jul-04,Adventure,PG-13,B,,,
318,Nothing To Lose,18-Jul-97,Comedy,R,B,,,
319,Herbie: Fully Loaded,22-Jun-05,Comedy,G,B,,,
320,Father of the Bride,20-Dec-91,Comedy,PG,B,,,
321,You Again,24-Sep-10,Comedy,PG,C,,,
322,Treasure Planet,27-Nov-02,Adventure,PG,C,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 2, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
323,The Great Mouse Detective,2-Jul-86,Adventure,,C,"[2, 2, 1, 22, 3, 1, 1, 1, 1, 1, 1, 1, 22]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
324,Cinderella,13-Mar-15,Drama,PG,A,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 7, 50, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
325,Frozen,22-Nov-13,Adventure,PG,A,"[1, 3, 2, 1, 1, 1, 1, 50]","[1, 1, 1, 1, 1, 1, 1, 1]",2.0
326,Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,A,,,
327,Zokkomon,22-Apr-11,Adventure,PG,D,,,
328,Gross Anatomy,20-Oct-89,Drama,PG-13,C,,,
329,The Incredibles,5-Nov-04,Adventure,PG,A,,,
330,Frank McKlusky C.I.,1-Jan-02,,,D,,,
331,Taking Care of Business,17-Aug-90,Comedy,R,C,,,
332,Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,C,,,
333,Cocktail,29-Jul-88,Drama,R,B,,,
334,Gun Shy,4-Feb-00,Comedy,R,D,,,
335,Mr. Destiny,12-Oct-90,Comedy,PG-13,C,,,
336,Herbie Goes to Monte Carlo,24-Jun-77,,,B,,,
337,Evita,25-Dec-96,Musical,PG,B,,,
338,Dark Water,8-Jul-05,Thriller/Suspense,PG-13,C,,,
339,Piglet's Big Movie,21-Mar-03,Comedy,G,C,,,
340,Kazaam,17-Jul-96,Comedy,PG,C,,,
341,Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,B,,,
342,Waking Sleeping Beauty,26-Mar-10,Documentary,PG,D,,,
343,The Count of Monte Cristo,25-Jan-02,Drama,PG-13,B,,,
344,The Program,24-Sep-93,Action,R,C,,,
345,When in Rome,29-Jan-10,Romantic Comedy,PG-13,C,,,
346,Born Yesterday,26-Mar-93,Romantic Comedy,PG,C,,,
347,The Alamo,9-Apr-04,Western,PG-13,C,,,
348,Mad Love,26-May-95,Drama,PG-13,C,,,
349,Armageddon,1-Jul-98,Adventure,PG-13,A,,,
350,Air Bud,1-Aug-97,Comedy,PG,C,,,
351,Fire Birds,24-May-90,Action,PG-13,C,,,
352,The Black Cauldron,24-Jul-85,Adventure,,C,"[1, 1, 2, 2, 2, 50, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
353,Oz the Great and Powerful,8-Mar-13,Adventure,PG,A,,,
354,Two Much,15-Mar-96,Romantic Comedy,PG-13,D,,,
355,102 Dalmatians,22-Nov-00,Comedy,G,B,,,
356,The Pacifier,4-Mar-05,Comedy,PG,B,,,
357,Prom,29-Apr-11,Comedy,PG,D,,,
358,Un indien dans la ville,22-Mar-96,Comedy,PG,D,,,
359,Annapolis,27-Jan-06,Drama,PG-13,C,,,
360,The Country Bears,26-Jul-02,Adventure,G,C,"[2, 1, 1, 1]","[1, 1, 1, 1]",
361,Planes: Fire and Rescue,18-Jul-14,Adventure,PG,C,,,
362,Tin Men,6-Mar-87,Comedy,,C,,,
363,Renaissance Man,3-Jun-94,Comedy,PG-13,C,,,
364,Playing God,17-Oct-97,Thriller/Suspense,R,D,,,
365,Phenomenon,5-Jul-96,Drama,PG,B,,,
366,Gnomeo and Juliet,11-Feb-11,Comedy,G,B,,,
367,The Color of Money,17-Oct-86,Drama,R,B,,,
368,Blackbeard's Ghost,8-Feb-68,Comedy,,B,,,
369,Ernest Scared Stupid,11-Oct-91,Comedy,PG,C,,,
370,The Emperor's New Groove,15-Dec-00,Adventure,G,B,"[1, 1, 2, 1, 1, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",1.0
371,Double Take,12-Jan-01,Action,PG-13,C,,,
372,Rocket Man,10-Oct-97,Comedy,PG,C,,,
